# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.207892089843750000e+03 6.443717773437500000e+03 1.000000119209289551e+00
1.000000000000000000e+03 5.734903335571289062e+01 6.786115264892578125e+01 3.431409001350402832e-01
2.000000000000000000e+03 8.912254333496093750e+00 1.036344242095947266e+01 1.127739176154136658e-01
3.000000000000000000e+03 8.973659276962280273e-01 1.037788271903991699e+00 2.839165367186069489e-02
4.000000000000000000e+03 6.284046769142150879e-01 7.102451324462890625e-01 1.452861353754997253e-02
5.000000000000000000e+03 9.271169453859329224e-02 1.016037315130233765e-01 4.726807586848735809e-03
